2026-01-19 19:36:18 | INFO | controller | Register done: http://127.0.0.1:40001, {'model_names': ['SkyNova_4B'], 'speed': 1, 'queue_length': 0}
2026-01-19 19:36:18 | INFO | stdout | INFO:     127.0.0.1:35946 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-01-19 19:36:18 | INFO | stdout | INFO:     127.0.0.1:35950 - "POST /list_models HTTP/1.1" 200 OK
2026-01-19 19:36:29 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:36:29 | INFO | stdout | INFO:     127.0.0.1:60806 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:36:44 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:36:44 | INFO | stdout | INFO:     127.0.0.1:42982 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:36:59 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:36:59 | INFO | stdout | INFO:     127.0.0.1:48332 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:08 | INFO | controller | Register a new worker: http://127.0.0.1:40001
2026-01-19 19:37:08 | INFO | controller | Register done: http://127.0.0.1:40001, {'model_names': ['SkyNova_4B'], 'speed': 1, 'queue_length': 0}
2026-01-19 19:37:08 | INFO | stdout | INFO:     127.0.0.1:52162 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-01-19 19:37:08 | INFO | stdout | INFO:     127.0.0.1:52164 - "POST /list_models HTTP/1.1" 200 OK
2026-01-19 19:37:08 | INFO | controller | Register a new worker: http://127.0.0.1:40001
2026-01-19 19:37:08 | INFO | controller | Register done: http://127.0.0.1:40001, {'model_names': ['SkyNova_4B'], 'speed': 1, 'queue_length': 0}
2026-01-19 19:37:08 | INFO | stdout | INFO:     127.0.0.1:52168 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-01-19 19:37:08 | INFO | stdout | INFO:     127.0.0.1:52180 - "POST /list_models HTTP/1.1" 200 OK
2026-01-19 19:37:09 | INFO | controller | names: ['http://127.0.0.1:40001'], queue_lens: [0.0], ret: http://127.0.0.1:40001
2026-01-19 19:37:09 | INFO | stdout | INFO:     127.0.0.1:52182 - "POST /get_worker_address HTTP/1.1" 200 OK
2026-01-19 19:37:09 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:09 | INFO | stdout | INFO:     127.0.0.1:52192 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:10 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:10 | INFO | stdout | INFO:     127.0.0.1:52202 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:14 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:14 | INFO | stdout | INFO:     127.0.0.1:52208 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:29 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:29 | INFO | stdout | INFO:     127.0.0.1:54360 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:44 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:44 | INFO | stdout | INFO:     127.0.0.1:54494 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:37:59 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:37:59 | INFO | stdout | INFO:     127.0.0.1:52738 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:38:14 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:38:14 | INFO | stdout | INFO:     127.0.0.1:49626 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:38:29 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:38:29 | INFO | stdout | INFO:     127.0.0.1:45762 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:38:44 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:38:44 | INFO | stdout | INFO:     127.0.0.1:36458 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:39:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:39:00 | INFO | stdout | INFO:     127.0.0.1:39252 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:39:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:39:15 | INFO | stdout | INFO:     127.0.0.1:60422 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:39:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:39:30 | INFO | stdout | INFO:     127.0.0.1:34006 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:39:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:39:45 | INFO | stdout | INFO:     127.0.0.1:54932 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:40:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:40:00 | INFO | stdout | INFO:     127.0.0.1:56766 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:40:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:40:15 | INFO | stdout | INFO:     127.0.0.1:40104 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:40:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:40:30 | INFO | stdout | INFO:     127.0.0.1:37986 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:40:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:40:45 | INFO | stdout | INFO:     127.0.0.1:49426 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:41:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:41:00 | INFO | stdout | INFO:     127.0.0.1:60314 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:41:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:41:15 | INFO | stdout | INFO:     127.0.0.1:49050 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:41:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:41:30 | INFO | stdout | INFO:     127.0.0.1:42786 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:41:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:41:45 | INFO | stdout | INFO:     127.0.0.1:55114 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:42:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:42:00 | INFO | stdout | INFO:     127.0.0.1:47326 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:42:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:42:15 | INFO | stdout | INFO:     127.0.0.1:60274 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:42:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:42:30 | INFO | stdout | INFO:     127.0.0.1:60164 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:42:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:42:45 | INFO | stdout | INFO:     127.0.0.1:47408 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:43:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:43:00 | INFO | stdout | INFO:     127.0.0.1:53940 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:43:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:43:15 | INFO | stdout | INFO:     127.0.0.1:54248 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:43:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:43:30 | INFO | stdout | INFO:     127.0.0.1:48056 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:43:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:43:45 | INFO | stdout | INFO:     127.0.0.1:44498 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:44:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:44:00 | INFO | stdout | INFO:     127.0.0.1:60012 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:44:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:44:15 | INFO | stdout | INFO:     127.0.0.1:58630 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:44:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:44:30 | INFO | stdout | INFO:     127.0.0.1:45604 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:44:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:44:45 | INFO | stdout | INFO:     127.0.0.1:53654 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:45:00 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:45:00 | INFO | stdout | INFO:     127.0.0.1:46792 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:45:15 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:45:15 | INFO | stdout | INFO:     127.0.0.1:33494 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:45:30 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:45:30 | INFO | stdout | INFO:     127.0.0.1:40042 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2026-01-19 19:45:45 | INFO | controller | Receive heart beat. http://127.0.0.1:40001
2026-01-19 19:45:45 | INFO | stdout | INFO:     127.0.0.1:58560 - "POST /receive_heart_beat HTTP/1.1" 200 OK
